year,lad_code,lad_name,region,nation,median_gross_annual_earnings
2017,E07000070,Maldon,East of England,E,27236.0
2018,E07000070,Maldon,East of England,E,28053.0
2019,E07000070,Maldon,East of England,E,28895.0
2020,E07000070,Maldon,East of England,E,29761.0
2021,E07000070,Maldon,East of England,E,30654.0
2022,E07000070,Maldon,East of England,E,31574.0
2023,E07000070,Maldon,East of England,E,32521.0
2024,E07000070,Maldon,East of England,E,33497.0
2010,E07000071,Rochford,East of England,E,23360.0
2011,E07000071,Rochford,East of England,E,24014.0
2012,E07000071,Rochford,East of England,E,24687.0
2013,E07000071,Rochford,East of England,E,25378.0
2014,E07000071,Rochford,East of England,E,26089.0
2015,E07000071,Rochford,East of England,E,26819.0
2016,E07000071,Rochford,East of England,E,27624.0
2017,E07000071,Rochford,East of England,E,28453.0
2018,E07000071,Rochford,East of England,E,29306.0
2019,E07000071,Rochford,East of England,E,30186.0
2020,E07000071,Rochford,East of England,E,31091.0
2021,E07000071,Rochford,East of England,E,32024.0
2022,E07000071,Rochford,East of England,E,32985.0
2023,E07000071,Rochford,East of England,E,33974.0
2024,E07000071,Rochford,East of England,E,34993.0
2010,E07000072,Tendring,East of England,E,26717.0
2011,E07000072,Tendring,East of England,E,27465.0
2012,E07000072,Tendring,East of England,E,28234.0
2013,E07000072,Tendring,East of England,E,29025.0
2014,E07000072,Tendring,East of England,E,29838.0
2015,E07000072,Tendring,East of England,E,30673.0
2016,E07000072,Tendring,East of England,E,31593.0
2017,E07000072,Tendring,East of England,E,32541.0
2018,E07000072,Tendring,East of England,E,33517.0
2019,E07000072,Tendring,East of England,E,34523.0
2020,E07000072,Tendring,East of England,E,35558.0
2021,E07000072,Tendring,East of England,E,36625.0
2022,E07000072,Tendring,East of England,E,37724.0
2023,E07000072,Tendring,East of England,E,38856.0
2024,E07000072,Tendring,East of England,E,40021.0
2010,E07000073,Uttlesford,East of England,E,22592.0
2011,E07000073,Uttlesford,East of England,E,23225.0
2012,E07000073,Uttlesford,East of England,E,23875.0
2013,E07000073,Uttlesford,East of England,E,24543.0
2014,E07000073,Uttlesford,East of England,E,25231.0
2015,E07000073,Uttlesford,East of England,E,25937.0
2016,E07000073,Uttlesford,East of England,E,26715.0
2017,E07000073,Uttlesford,East of England,E,27517.0
2018,E07000073,Uttlesford,East of England,E,28342.0
2019,E07000073,Uttlesford,East of England,E,29192.0
2020,E07000073,Uttlesford,East of England,E,30068.0
2021,E07000073,Uttlesford,East of England,E,30970.0
2022,E07000073,Uttlesford,East of England,E,31899.0
2023,E07000073,Uttlesford,East of England,E,32856.0
2024,E07000073,Uttlesford,East of England,E,33842.0
2010,E07000078,Eastbourne,South East,E,23966.0
2011,E07000078,Eastbourne,South East,E,24637.0
2012,E07000078,Eastbourne,South East,E,25326.0
2013,E07000078,Eastbourne,South East,E,26036.0
2014,E07000078,Eastbourne,South East,E,26765.0
2015,E07000078,Eastbourne,South East,E,27514.0
2016,E07000078,Eastbourne,South East,E,28339.0
2017,E07000078,Eastbourne,South East,E,29190.0
2018,E07000078,Eastbourne,South East,E,30065.0
2019,E07000078,Eastbourne,South East,E,30967.0
2020,E07000078,Eastbourne,South East,E,31896.0
2021,E07000078,Eastbourne,South East,E,32853.0
2022,E07000078,Eastbourne,South East,E,33839.0
2023,E07000078,Eastbourne,South East,E,34854.0
2024,E07000078,Eastbourne,South East,E,35900.0
2010,E07000079,Hastings,South East,E,22744.0
2011,E07000079,Hastings,South East,E,23381.0
2012,E07000079,Hastings,South East,E,24036.0
2013,E07000079,Hastings,South East,E,24709.0
2014,E07000079,Hastings,South East,E,25401.0
2015,E07000079,Hastings,South East,E,26112.0
2016,E07000079,Hastings,South East,E,26895.0
2017,E07000079,Hastings,South East,E,27702.0
2018,E07000079,Hastings,South East,E,28533.0
2019,E07000079,Hastings,South East,E,29389.0
2020,E07000079,Hastings,South East,E,30271.0
2021,E07000079,Hastings,South East,E,31179.0
2022,E07000079,Hastings,South East,E,32114.0
2023,E07000079,Hastings,South East,E,33078.0
2024,E07000079,Hastings,South East,E,34070.0
2010,E07000080,Lewes,South East,E,26983.0
2011,E07000080,Lewes,South East,E,27738.0
2012,E07000080,Lewes,South East,E,28515.0
2013,E07000080,Lewes,South East,E,29313.0
2014,E07000080,Lewes,South East,E,30134.0
2015,E07000080,Lewes,South East,E,30978.0
2016,E07000080,Lewes,South East,E,31908.0
2017,E07000080,Lewes,South East,E,32865.0
2018,E07000080,Lewes,South East,E,33851.0
2019,E07000080,Lewes,South East,E,34866.0
2020,E07000080,Lewes,South East,E,35912.0
2021,E07000080,Lewes,South East,E,36990.0
2022,E07000080,Lewes,South East,E,38099.0
2023,E07000080,Lewes,South East,E,39242.0
2024,E07000080,Lewes,South East,E,40420.0
2010,E07000081,Rother,South East,E,25797.0
2011,E07000081,Rother,South East,E,26519.0
2012,E07000081,Rother,South East,E,27261.0
2013,E07000081,Rother,South East,E,28025.0
2014,E07000081,Rother,South East,E,28809.0
2015,E07000081,Rother,South East,E,29616.0
2016,E07000081,Rother,South East,E,30504.0
2017,E07000081,Rother,South East,E,31419.0
2018,E07000081,Rother,South East,E,32362.0
2019,E07000081,Rother,South East,E,33333.0
2020,E07000081,Rother,South East,E,34333.0
2021,E07000081,Rother,South East,E,35363.0
2022,E07000081,Rother,South East,E,36423.0
2023,E07000081,Rother,South East,E,37516.0
2024,E07000081,Rother,South East,E,38642.0
2010,E07000082,Wealden,South East,E,29633.0
2011,E07000082,Wealden,South East,E,30462.0
2012,E07000082,Wealden,South East,E,31315.0
2013,E07000082,Wealden,South East,E,32192.0
2014,E07000082,Wealden,South East,E,33093.0
2015,E07000082,Wealden,South East,E,34020.0
2016,E07000082,Wealden,South East,E,35040.0
2017,E07000082,Wealden,South East,E,36092.0
2018,E07000082,Wealden,South East,E,37174.0
2019,E07000082,Wealden,South East,E,38290.0
2020,E07000082,Wealden,South East,E,39438.0
2021,E07000082,Wealden,South East,E,40621.0
2022,E07000082,Wealden,South East,E,41840.0
2023,E07000082,Wealden,South East,E,43095.0
2024,E07000082,Wealden,South East,E,44388.0
2010,E07000083,Basingstoke and Deane,South East,E,25293.0
2011,E07000083,Basingstoke and Deane,South East,E,26001.0
2012,E07000083,Basingstoke and Deane,South East,E,26729.0
2013,E07000083,Basingstoke and Deane,South East,E,27478.0
2014,E07000083,Basingstoke and Deane,South East,E,28247.0
2015,E07000083,Basingstoke and Deane,South East,E,29038.0
2016,E07000083,Basingstoke and Deane,South East,E,29909.0
2017,E07000083,Basingstoke and Deane,South East,E,30806.0
2018,E07000083,Basingstoke and Deane,South East,E,31731.0
2019,E07000083,Basingstoke and Deane,South East,E,32682.0
2020,E07000083,Basingstoke and Deane,South East,E,33663.0
2021,E07000083,Basingstoke and Deane,South East,E,34673.0
2022,E07000083,Basingstoke and Deane,South East,E,35713.0
2023,E07000083,Basingstoke and Deane,South East,E,36784.0
2024,E07000083,Basingstoke and Deane,South East,E,37888.0
2010,E07000084,East Hampshire,South East,E,25526.0
2011,E07000084,East Hampshire,South East,E,26240.0
2012,E07000084,East Hampshire,South East,E,26975.0
2013,E07000084,East Hampshire,South East,E,27730.0
2014,E07000084,East Hampshire,South East,E,28507.0
2015,E07000084,East Hampshire,South East,E,29305.0
2016,E07000084,East Hampshire,South East,E,30184.0
2017,E07000084,East Hampshire,South East,E,31089.0
2018,E07000084,East Hampshire,South East,E,32022.0
2019,E07000084,East Hampshire,South East,E,32983.0
2020,E07000084,East Hampshire,South East,E,33972.0
2021,E07000084,East Hampshire,South East,E,34991.0
2022,E07000084,East Hampshire,South East,E,36041.0
2023,E07000084,East Hampshire,South East,E,37122.0
2024,E07000084,East Hampshire,South East,E,38236.0
2010,E07000085,Eastleigh,South East,E,24999.0
2011,E07000085,Eastleigh,South East,E,25699.0
2012,E07000085,Eastleigh,South East,E,26418.0
2013,E07000085,Eastleigh,South East,E,27158.0
2014,E07000085,Eastleigh,South East,E,27918.0
2015,E07000085,Eastleigh,South East,E,28700.0
2016,E07000085,Eastleigh,South East,E,29561.0
2017,E07000085,Eastleigh,South East,E,30448.0
2018,E07000085,Eastleigh,South East,E,31362.0
2019,E07000085,Eastleigh,South East,E,32303.0
2020,E07000085,Eastleigh,South East,E,33272.0
2021,E07000085,Eastleigh,South East,E,34270.0
2022,E07000085,Eastleigh,South East,E,35298.0
2023,E07000085,Eastleigh,South East,E,36357.0
2024,E07000085,Eastleigh,South East,E,37448.0
2010,E07000086,Fareham,South East,E,26278.0
2011,E07000086,Fareham,South East,E,27014.0
2012,E07000086,Fareham,South East,E,27770.0
2013,E07000086,Fareham,South East,E,28548.0
2014,E07000086,Fareham,South East,E,29347.0
2015,E07000086,Fareham,South East,E,30169.0
2016,E07000086,Fareham,South East,E,31074.0
2017,E07000086,Fareham,South East,E,32006.0
2018,E07000086,Fareham,South East,E,32967.0
2019,E07000086,Fareham,South East,E,33956.0
2020,E07000086,Fareham,South East,E,34974.0
2021,E07000086,Fareham,South East,E,36024.0
2022,E07000086,Fareham,South East,E,37104.0
2023,E07000086,Fareham,South East,E,38217.0
2024,E07000086,Fareham,South East,E,39364.0
2010,E07000087,Gosport,South East,E,25050.0
2011,E07000087,Gosport,South East,E,25751.0
2012,E07000087,Gosport,South East,E,26472.0
2013,E07000087,Gosport,South East,E,27214.0
2014,E07000087,Gosport,South East,E,27976.0
2015,E07000087,Gosport,South East,E,28759.0
2016,E07000087,Gosport,South East,E,29622.0
2017,E07000087,Gosport,South East,E,30510.0
2018,E07000087,Gosport,South East,E,31426.0
2019,E07000087,Gosport,South East,E,32368.0
2020,E07000087,Gosport,South East,E,33339.0
2021,E07000087,Gosport,South East,E,34340.0
2022,E07000087,Gosport,South East,E,35370.0
2023,E07000087,Gosport,South East,E,36431.0
2024,E07000087,Gosport,South East,E,37524.0
2010,E07000088,Hart,South East,E,28728.0
2011,E07000088,Hart,South East,E,29533.0
2012,E07000088,Hart,South East,E,30360.0
2013,E07000088,Hart,South East,E,31210.0
2014,E07000088,Hart,South East,E,32084.0
2015,E07000088,Hart,South East,E,32982.0
2016,E07000088,Hart,South East,E,33972.0
2017,E07000088,Hart,South East,E,34991.0
2018,E07000088,Hart,South East,E,36041.0
2019,E07000088,Hart,South East,E,37122.0
2020,E07000088,Hart,South East,E,38236.0
2021,E07000088,Hart,South East,E,39383.0
2022,E07000088,Hart,South East,E,40564.0
2023,E07000088,Hart,South East,E,41781.0
2024,E07000088,Hart,South East,E,43035.0
2010,E07000089,Havant,South East,E,29554.0
2011,E07000089,Havant,South East,E,30382.0
2012,E07000089,Havant,South East,E,31232.0
2013,E07000089,Havant,South East,E,32107.0
2014,E07000089,Havant,South East,E,33006.0
2015,E07000089,Havant,South East,E,33930.0
2016,E07000089,Havant,South East,E,34948.0
2017,E07000089,Havant,South East,E,35996.0
2018,E07000089,Havant,South East,E,37076.0
2019,E07000089,Havant,South East,E,38188.0
2020,E07000089,Havant,South East,E,39334.0
2021,E07000089,Havant,South East,E,40514.0
2022,E07000089,Havant,South East,E,41729.0
2023,E07000089,Havant,South East,E,42981.0
2024,E07000089,Havant,South East,E,44271.0
2010,E07000090,New Forest,South East,E,26812.0
2011,E07000090,New Forest,South East,E,27563.0
2012,E07000090,New Forest,South East,E,28335.0
2013,E07000090,New Forest,South East,E,29128.0
2014,E07000090,New Forest,South East,E,29944.0
2015,E07000090,New Forest,South East,E,30782.0
2016,E07000090,New Forest,South East,E,31706.0
2017,E07000090,New Forest,South East,E,32657.0
2018,E07000090,New Forest,South East,E,33637.0
2019,E07000090,New Forest,South East,E,34646.0
2020,E07000090,New Forest,South East,E,35685.0
2021,E07000090,New Forest,South East,E,36756.0
2022,E07000090,New Forest,South East,E,37858.0
2023,E07000090,New Forest,South East,E,38994.0
2024,E07000090,New Forest,South East,E,40164.0
2010,E07000091,Rushmoor,South East,E,27436.0
2011,E07000091,Rushmoor,South East,E,28204.0
2012,E07000091,Rushmoor,South East,E,28994.0
2013,E07000091,Rushmoor,South East,E,29806.0
2014,E07000091,Rushmoor,South East,E,30640.0
2015,E07000091,Rushmoor,South East,E,31498.0
2016,E07000091,Rushmoor,South East,E,32443.0
2017,E07000091,Rushmoor,South East,E,33416.0
2018,E07000091,Rushmoor,South East,E,34418.0
2019,E07000091,Rushmoor,South East,E,35451.0
2020,E07000091,Rushmoor,South East,E,36515.0
2021,E07000091,Rushmoor,South East,E,37610.0
2022,E07000091,Rushmoor,South East,E,38738.0
2023,E07000091,Rushmoor,South East,E,39900.0
2024,E07000091,Rushmoor,South East,E,41097.0
2010,E07000092,Test Valley,South East,E,26316.0
2011,E07000092,Test Valley,South East,E,27052.0
2012,E07000092,Test Valley,South East,E,27810.0
2013,E07000092,Test Valley,South East,E,28589.0
2014,E07000092,Test Valley,South East,E,29389.0
2015,E07000092,Test Valley,South East,E,30212.0
2016,E07000092,Test Valley,South East,E,31118.0
2017,E07000092,Test Valley,South East,E,32052.0
2018,E07000092,Test Valley,South East,E,33013.0
2019,E07000092,Test Valley,South East,E,34004.0
2020,E07000092,Test Valley,South East,E,35024.0
2021,E07000092,Test Valley,South East,E,36075.0
2022,E07000092,Test Valley,South East,E,37157.0
2023,E07000092,Test Valley,South East,E,38272.0
2024,E07000092,Test Valley,South East,E,39420.0
2010,E07000093,Winchester,South East,E,26611.0
2011,E07000093,Winchester,South East,E,27356.0
2012,E07000093,Winchester,South East,E,28122.0
2013,E07000093,Winchester,South East,E,28909.0
2014,E07000093,Winchester,South East,E,29719.0
2015,E07000093,Winchester,South East,E,30551.0
2016,E07000093,Winchester,South East,E,31467.0
2017,E07000093,Winchester,South East,E,32411.0
2018,E07000093,Winchester,South East,E,33384.0
2019,E07000093,Winchester,South East,E,34385.0
2020,E07000093,Winchester,South East,E,35417.0
2021,E07000093,Winchester,South East,E,36479.0
2022,E07000093,Winchester,South East,E,37574.0
2023,E07000093,Winchester,South East,E,38701.0
2024,E07000093,Winchester,South East,E,39862.0
2010,E07000099,Broxbourne,East of England,E,25128.0
2011,E07000099,Broxbourne,East of England,E,25831.0
2012,E07000099,Broxbourne,East of England,E,26554.0
2013,E07000099,Broxbourne,East of England,E,27298.0
2014,E07000099,Broxbourne,East of England,E,28062.0
2015,E07000099,Broxbourne,East of England,E,28848.0
2016,E07000099,Broxbourne,East of England,E,29713.0
2017,E07000099,Broxbourne,East of England,E,30605.0
2018,E07000099,Broxbourne,East of England,E,31523.0
2019,E07000099,Broxbourne,East of England,E,32468.0
2020,E07000099,Broxbourne,East of England,E,33442.0
2021,E07000099,Broxbourne,East of England,E,34446.0
2022,E07000099,Broxbourne,East of England,E,35479.0
2023,E07000099,Broxbourne,East of England,E,36543.0
2024,E07000099,Broxbourne,East of England,E,37640.0
2010,E07000100,Dacorum,East of England,E,26336.0
2011,E07000100,Dacorum,East of England,E,27073.0
2012,E07000100,Dacorum,East of England,E,27831.0
2013,E07000100,Dacorum,East of England,E,28610.0
2014,E07000100,Dacorum,East of England,E,29411.0
2015,E07000100,Dacorum,East of England,E,30235.0
2016,E07000100,Dacorum,East of England,E,31142.0
2017,E07000100,Dacorum,East of England,E,32077.0
2018,E07000100,Dacorum,East of England,E,33039.0
2019,E07000100,Dacorum,East of England,E,34030.0
2020,E07000100,Dacorum,East of England,E,35051.0
2021,E07000100,Dacorum,East of England,E,36103.0
2022,E07000100,Dacorum,East of England,E,37186.0
2023,E07000100,Dacorum,East of England,E,38301.0
2024,E07000100,Dacorum,East of England,E,39450.0
2010,E07000102,Hertsmere,East of England,E,23969.0
2011,E07000102,Hertsmere,East of England,E,24640.0
2012,E07000102,Hertsmere,East of England,E,25330.0
2013,E07000102,Hertsmere,East of England,E,26039.0
2014,E07000102,Hertsmere,East of England,E,26768.0
2015,E07000102,Hertsmere,East of England,E,27518.0
2016,E07000102,Hertsmere,East of England,E,28344.0
2017,E07000102,Hertsmere,East of England,E,29194.0
2018,E07000102,Hertsmere,East of England,E,30070.0
2019,E07000102,Hertsmere,East of England,E,30972.0
2020,E07000102,Hertsmere,East of England,E,31901.0
2021,E07000102,Hertsmere,East of England,E,32858.0
2022,E07000102,Hertsmere,East of England,E,33844.0
2023,E07000102,Hertsmere,East of England,E,34859.0
2024,E07000102,Hertsmere,East of England,E,35905.0
2010,E07000103,North Hertfordshire,East of England,E,21387.0
2011,E07000103,North Hertfordshire,East of England,E,21986.0
2012,E07000103,North Hertfordshire,East of England,E,22602.0
2013,E07000103,North Hertfordshire,East of England,E,23235.0
2014,E07000103,North Hertfordshire,East of England,E,23885.0
2015,E07000103,North Hertfordshire,East of England,E,24554.0
2016,E07000103,North Hertfordshire,East of England,E,25291.0
2017,E07000103,North Hertfordshire,East of England,E,26049.0
2018,E07000103,North Hertfordshire,East of England,E,26831.0
2019,E07000103,North Hertfordshire,East of England,E,27636.0
2020,E07000103,North Hertfordshire,East of England,E,28465.0
2021,E07000103,North Hertfordshire,East of England,E,29319.0
2022,E07000103,North Hertfordshire,East of England,E,30198.0
2023,E07000103,North Hertfordshire,East of England,E,31104.0
2024,E07000103,North Hertfordshire,East of England,E,32037.0
2010,E07000104,St Albans,East of England,E,22687.0
2011,E07000104,St Albans,East of England,E,23322.0
2012,E07000104,St Albans,East of England,E,23975.0
2013,E07000104,St Albans,East of England,E,24646.0
2014,E07000104,St Albans,East of England,E,25337.0
2015,E07000104,St Albans,East of England,E,26046.0
2016,E07000104,St Albans,East of England,E,26827.0
2017,E07000104,St Albans,East of England,E,27632.0
2018,E07000104,St Albans,East of England,E,28461.0
2019,E07000104,St Albans,East of England,E,29315.0
2020,E07000104,St Albans,East of England,E,30194.0
2021,E07000104,St Albans,East of England,E,31100.0
2022,E07000104,St Albans,East of England,E,32033.0
2023,E07000104,St Albans,East of England,E,32994.0
2024,E07000104,St Albans,East of England,E,33984.0
2010,E07000105,Stevenage,East of England,E,22832.0
2011,E07000105,Stevenage,East of England,E,23471.0
2012,E07000105,Stevenage,East of England,E,24128.0
2013,E07000105,Stevenage,East of England,E,24804.0
2014,E07000105,Stevenage,East of England,E,25498.0
2015,E07000105,Stevenage,East of England,E,26212.0
2016,E07000105,Stevenage,East of England,E,26998.0
2017,E07000105,Stevenage,East of England,E,27808.0
2018,E07000105,Stevenage,East of England,E,28642.0
2019,E07000105,Stevenage,East of England,E,29502.0
2020,E07000105,Stevenage,East of England,E,30387.0
2021,E07000105,Stevenage,East of England,E,31298.0
2022,E07000105,Stevenage,East of England,E,32237.0
2023,E07000105,Stevenage,East of England,E,33204.0
2024,E07000105,Stevenage,East of England,E,34201.0
2010,E07000106,Three Rivers,East of England,E,26396.0
2011,E07000106,Three Rivers,East of England,E,27135.0
2012,E07000106,Three Rivers,East of England,E,27895.0
2013,E07000106,Three Rivers,East of England,E,28676.0
2014,E07000106,Three Rivers,East of England,E,29479.0
2015,E07000106,Three Rivers,East of England,E,30304.0
2016,E07000106,Three Rivers,East of England,E,31213.0
2017,E07000106,Three Rivers,East of England,E,32149.0
2018,E07000106,Three Rivers,East of England,E,33114.0
2019,E07000106,Three Rivers,East of England,E,34107.0
2020,E07000106,Three Rivers,East of England,E,35130.0
2021,E07000106,Three Rivers,East of England,E,36184.0
2022,E07000106,Three Rivers,East of England,E,37270.0
2023,E07000106,Three Rivers,East of England,E,38388.0
2024,E07000106,Three Rivers,East of England,E,39539.0
2010,E07000107,Watford,East of England,E,26227.0
2011,E07000107,Watford,East of England,E,26961.0
2012,E07000107,Watford,East of England,E,27716.0
2013,E07000107,Watford,East of England,E,28492.0
2014,E07000107,Watford,East of England,E,29290.0
2015,E07000107,Watford,East of England,E,30110.0
2016,E07000107,Watford,East of England,E,31013.0
2017,E07000107,Watford,East of England,E,31944.0
2018,E07000107,Watford,East of England,E,32902.0
2019,E07000107,Watford,East of England,E,33889.0
2020,E07000107,Watford,East of England,E,34906.0
2021,E07000107,Watford,East of England,E,35953.0
2022,E07000107,Watford,East of England,E,37031.0
2023,E07000107,Watford,East of England,E,38142.0
2024,E07000107,Watford,East of England,E,39287.0
2010,E07000108,Welwyn Hatfield,East of England,E,25342.0
2011,E07000108,Welwyn Hatfield,East of England,E,26051.0
2012,E07000108,Welwyn Hatfield,East of England,E,26781.0
2013,E07000108,Welwyn Hatfield,East of England,E,27531.0
2014,E07000108,Welwyn Hatfield,East of England,E,28302.0
2015,E07000108,Welwyn Hatfield,East of England,E,29094.0
2016,E07000108,Welwyn Hatfield,East of England,E,29967.0
2017,E07000108,Welwyn Hatfield,East of England,E,30866.0
2018,E07000108,Welwyn Hatfield,East of England,E,31792.0
2019,E07000108,Welwyn Hatfield,East of England,E,32746.0
2020,E07000108,Welwyn Hatfield,East of England,E,33728.0
2021,E07000108,Welwyn Hatfield,East of England,E,34740.0
2022,E07000108,Welwyn Hatfield,East of England,E,35782.0
2023,E07000108,Welwyn Hatfield,East of England,E,36855.0
2024,E07000108,Welwyn Hatfield,East of England,E,37961.0
2010,E07000109,Ashford,South East,E,24591.0
2011,E07000109,Ashford,South East,E,25280.0
2012,E07000109,Ashford,South East,E,25987.0
2013,E07000109,Ashford,South East,E,26715.0
2014,E07000109,Ashford,South East,E,27463.0
2015,E07000109,Ashford,South East,E,28232.0
2016,E07000109,Ashford,South East,E,29079.0
2017,E07000109,Ashford,South East,E,29951.0
2018,E07000109,Ashford,South East,E,30850.0
2019,E07000109,Ashford,South East,E,31775.0
2020,E07000109,Ashford,South East,E,32729.0
2021,E07000109,Ashford,South East,E,33711.0
2022,E07000109,Ashford,South East,E,34722.0
2023,E07000109,Ashford,South East,E,35764.0
2024,E07000109,Ashford,South East,E,36836.0
2010,E07000110,Canterbury,South East,E,26397.0
2011,E07000110,Canterbury,South East,E,27136.0
2012,E07000110,Canterbury,South East,E,27896.0
2013,E07000110,Canterbury,South East,E,28677.0
2014,E07000110,Canterbury,South East,E,29480.0
2015,E07000110,Canterbury,South East,E,30305.0
2016,E07000110,Canterbury,South East,E,31214.0
2017,E07000110,Canterbury,South East,E,32151.0
2018,E07000110,Canterbury,South East,E,33115.0
2019,E07000110,Canterbury,South East,E,34109.0
2020,E07000110,Canterbury,South East,E,35132.0
2021,E07000110,Canterbury,South East,E,36186.0
2022,E07000110,Canterbury,South East,E,37272.0
2023,E07000110,Canterbury,South East,E,38390.0
2024,E07000110,Canterbury,South East,E,39541.0
2010,E07000111,Dartford,South East,E,24721.0
2011,E07000111,Dartford,South East,E,25413.0
2012,E07000111,Dartford,South East,E,26125.0
2013,E07000111,Dartford,South East,E,26856.0
2014,E07000111,Dartford,South East,E,27608.0
2015,E07000111,Dartford,South East,E,28381.0
2016,E07000111,Dartford,South East,E,29233.0
2017,E07000111,Dartford,South East,E,30110.0
2018,E07000111,Dartford,South East,E,31013.0
2019,E07000111,Dartford,South East,E,31943.0
2020,E07000111,Dartford,South East,E,32902.0
2021,E07000111,Dartford,South East,E,33889.0
2022,E07000111,Dartford,South East,E,34905.0
2023,E07000111,Dartford,South East,E,35953.0
2024,E07000111,Dartford,South East,E,37031.0
2010,E07000112,Dover,South East,E,23891.0
2011,E07000112,Dover,South East,E,24560.0
2012,E07000112,Dover,South East,E,25247.0
2013,E07000112,Dover,South East,E,25954.0
2014,E07000112,Dover,South East,E,26681.0
2015,E07000112,Dover,South East,E,27428.0
2016,E07000112,Dover,South East,E,28251.0
2017,E07000112,Dover,South East,E,29098.0
2018,E07000112,Dover,South East,E,29971.0
2019,E07000112,Dover,South East,E,30870.0
2020,E07000112,Dover,South East,E,31796.0
2021,E07000112,Dover,South East,E,32750.0
2022,E07000112,Dover,South East,E,33733.0
2023,E07000112,Dover,South East,E,34745.0
2024,E07000112,Dover,South East,E,35787.0
2010,E07000113,Folkestone and Hythe,South East,E,27705.0
2011,E07000113,Folkestone and Hythe,South East,E,28481.0
2012,E07000113,Folkestone and Hythe,South East,E,29278.0
2013,E07000113,Folkestone and Hythe,South East,E,30098.0
2014,E07000113,Folkestone and Hythe,South East,E,30941.0
2015,E07000113,Folkestone and Hythe,South East,E,31807.0
2016,E07000113,Folkestone and Hythe,South East,E,32761.0
2017,E07000113,Folkestone and Hythe,South East,E,33744.0
2018,E07000113,Folkestone and Hythe,South East,E,34757.0
2019,E07000113,Folkestone and Hythe,South East,E,35799.0
2020,E07000113,Folkestone and Hythe,South East,E,36873.0
2021,E07000113,Folkestone and Hythe,South East,E,37980.0
2022,E07000113,Folkestone and Hythe,South East,E,39119.0
2023,E07000113,Folkestone and Hythe,South East,E,40292.0
2024,E07000113,Folkestone and Hythe,South East,E,41501.0
2010,E07000114,Gravesham,South East,E,22454.0
2011,E07000114,Gravesham,South East,E,23083.0
2012,E07000114,Gravesham,South East,E,23729.0
2013,E07000114,Gravesham,South East,E,24394.0
2014,E07000114,Gravesham,South East,E,25077.0
2015,E07000114,Gravesham,South East,E,25779.0
2016,E07000114,Gravesham,South East,E,26552.0
2017,E07000114,Gravesham,South East,E,27349.0
2018,E07000114,Gravesham,South East,E,28169.0
2019,E07000114,Gravesham,South East,E,29014.0
2020,E07000114,Gravesham,South East,E,29885.0
2021,E07000114,Gravesham,South East,E,30781.0
2022,E07000114,Gravesham,South East,E,31705.0
2023,E07000114,Gravesham,South East,E,32656.0
2024,E07000114,Gravesham,South East,E,33636.0
2010,E07000115,Maidstone,South East,E,21926.0
2011,E07000115,Maidstone,South East,E,22540.0
2012,E07000115,Maidstone,South East,E,23171.0
2013,E07000115,Maidstone,South East,E,23819.0
2014,E07000115,Maidstone,South East,E,24486.0
2015,E07000115,Maidstone,South East,E,25172.0
2016,E07000115,Maidstone,South East,E,25927.0
2017,E07000115,Maidstone,South East,E,26705.0
2018,E07000115,Maidstone,South East,E,27506.0
2019,E07000115,Maidstone,South East,E,28332.0
2020,E07000115,Maidstone,South East,E,29182.0
2021,E07000115,Maidstone,South East,E,30057.0
2022,E07000115,Maidstone,South East,E,30959.0
2023,E07000115,Maidstone,South East,E,31888.0
2024,E07000115,Maidstone,South East,E,32844.0
2010,E07000116,Sevenoaks,South East,E,24459.0
2011,E07000116,Sevenoaks,South East,E,25143.0
2012,E07000116,Sevenoaks,South East,E,25847.0
2013,E07000116,Sevenoaks,South East,E,26571.0
2014,E07000116,Sevenoaks,South East,E,27315.0
2015,E07000116,Sevenoaks,South East,E,28080.0
2016,E07000116,Sevenoaks,South East,E,28923.0
2017,E07000116,Sevenoaks,South East,E,29790.0
2018,E07000116,Sevenoaks,South East,E,30684.0
2019,E07000116,Sevenoaks,South East,E,31605.0
2020,E07000116,Sevenoaks,South East,E,32553.0
2021,E07000116,Sevenoaks,South East,E,33529.0
2022,E07000116,Sevenoaks,South East,E,34535.0
2023,E07000116,Sevenoaks,South East,E,35571.0
2024,E07000116,Sevenoaks,South East,E,36638.0
2010,E07000117,Chorley,North West,E,25235.0
2011,E07000117,Chorley,North West,E,25941.0
2012,E07000117,Chorley,North West,E,26668.0
2013,E07000117,Chorley,North West,E,27414.0
2014,E07000117,Chorley,North West,E,28182.0
2015,E07000117,Chorley,North West,E,28971.0
2016,E07000117,Chorley,North West,E,29840.0
2017,E07000117,Chorley,North West,E,30735.0
2018,E07000117,Chorley,North West,E,31657.0
2019,E07000117,Chorley,North West,E,32607.0
2020,E07000117,Chorley,North West,E,33585.0
2021,E07000117,Chorley,North West,E,34593.0
2022,E07000117,Chorley,North West,E,35631.0
2023,E07000117,Chorley,North West,E,36700.0
2024,E07000117,Chorley,North West,E,37801.0
2010,E07000118,Fylde,North West,E,24294.0
2011,E07000118,Fylde,North West,E,24974.0
2012,E07000118,Fylde,North West,E,25673.0
2013,E07000118,Fylde,North West,E,26392.0
2014,E07000118,Fylde,North West,E,27131.0
2015,E07000118,Fylde,North West,E,27891.0
2016,E07000118,Fylde,North West,E,28728.0
2017,E07000118,Fylde,North West,E,29590.0
